* Block Type = 96fast
* Chemistry = TAQMAN
* Experiment File Name = C:\Applied Biosystems\7500\bin\Untitled
* Experiment Run End Time = Not Started
* Instrument Type = sds7500fast
* Passive Reference = ROX

[Sample Setup]
Well	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
B10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B12	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B12	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
C12	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
C12	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
D12	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
D12	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
E12	PEC	"RGB(132,193,241)"			RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
E12	PEC	"RGB(132,193,241)"			SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
F12	NEC	"RGB(168,255,222)"			RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
F12	NEC	"RGB(168,255,222)"			SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
G12	PAC	"RGB(223,221,142)"			RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
G12	PAC	"RGB(223,221,142)"			SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
H12	NTC	"RGB(247,255,168)"			RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
H12	NTC	"RGB(247,255,168)"			SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
